,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Clus_kmeans,sil_width
0,1,5.1,3.5,1.4,0.2,Iris-setosa,1,0.7297367494053228
1,2,4.9,3.0,1.4,0.2,Iris-setosa,1,0.5735579634654274
2,3,4.7,3.2,1.3,0.2,Iris-setosa,1,0.6798251665801386
3,4,4.6,3.1,1.5,0.2,Iris-setosa,1,0.6239912748239121
4,5,5.0,3.6,1.4,0.2,Iris-setosa,1,0.7219069325255685
5,6,5.4,3.9,1.7,0.4,Iris-setosa,1,0.6043613056246939
6,7,4.6,3.4,1.4,0.3,Iris-setosa,1,0.6961345359850023
7,8,5.0,3.4,1.5,0.2,Iris-setosa,1,0.7285338993585333
8,9,4.4,2.9,1.4,0.2,Iris-setosa,1,0.49111250664274586
9,10,4.9,3.1,1.5,0.1,Iris-setosa,1,0.6386915359299801
10,11,5.4,3.7,1.5,0.2,Iris-setosa,1,0.668955926200501
11,12,4.8,3.4,1.6,0.2,Iris-setosa,1,0.7195018274871856
12,13,4.8,3.0,1.4,0.1,Iris-setosa,1,0.5839981380102912
13,14,4.3,3.0,1.1,0.1,Iris-setosa,1,0.5518744307053752
14,15,5.8,4.0,1.2,0.2,Iris-setosa,1,0.5487887425296788
15,16,5.7,4.4,1.5,0.4,Iris-setosa,1,0.4522437740755151
16,17,5.4,3.9,1.3,0.4,Iris-setosa,1,0.6155860626337173
17,18,5.1,3.5,1.4,0.3,Iris-setosa,1,0.7243714875672924
18,19,5.7,3.8,1.7,0.3,Iris-setosa,1,0.5817863934481283
19,20,5.1,3.8,1.5,0.3,Iris-setosa,1,0.6708935383649364
20,21,5.4,3.4,1.7,0.2,Iris-setosa,1,0.6590563564189472
21,22,5.1,3.7,1.5,0.4,Iris-setosa,1,0.6839729350209741
22,23,4.6,3.6,1.0,0.2,Iris-setosa,1,0.6914144823516087
23,24,5.1,3.3,1.7,0.5,Iris-setosa,1,0.637147484062809
24,25,4.8,3.4,1.9,0.2,Iris-setosa,1,0.6992019722145871
25,26,5.0,3.0,1.6,0.2,Iris-setosa,1,0.5504062393910225
26,27,5.0,3.4,1.6,0.4,Iris-setosa,1,0.7023701464541456
27,28,5.2,3.5,1.5,0.2,Iris-setosa,1,0.7174570526642767
28,29,5.2,3.4,1.4,0.2,Iris-setosa,1,0.7125524941032808
29,30,4.7,3.2,1.6,0.2,Iris-setosa,1,0.6702111355052778
30,31,4.8,3.1,1.6,0.2,Iris-setosa,1,0.63026350219874
31,32,5.4,3.4,1.5,0.4,Iris-setosa,1,0.6462730866503503
32,33,5.2,4.1,1.5,0.1,Iris-setosa,1,0.5839338614685908
33,34,5.5,4.2,1.4,0.2,Iris-setosa,1,0.5358545280581932
34,35,4.9,3.1,1.5,0.1,Iris-setosa,1,0.6386915359299801
35,36,5.0,3.2,1.2,0.2,Iris-setosa,1,0.6787798988606155
36,37,5.5,3.5,1.3,0.2,Iris-setosa,1,0.6626891778304866
37,38,4.9,3.1,1.5,0.1,Iris-setosa,1,0.6386915359299801
38,39,4.4,3.0,1.3,0.2,Iris-setosa,1,0.5554751110996863
39,40,5.1,3.4,1.5,0.2,Iris-setosa,1,0.7225595536173712
40,41,5.0,3.5,1.3,0.3,Iris-setosa,1,0.7287494782966233
41,42,4.5,2.3,1.3,0.3,Iris-setosa,1,0.07697095646803223
42,43,4.4,3.2,1.3,0.2,Iris-setosa,1,0.6384537474090071
43,44,5.0,3.5,1.6,0.6,Iris-setosa,1,0.6599846548397436
44,45,5.1,3.8,1.9,0.4,Iris-setosa,1,0.6424144935637723
45,46,4.8,3.0,1.4,0.3,Iris-setosa,1,0.5636715217731265
46,47,5.1,3.8,1.6,0.2,Iris-setosa,1,0.6722253637858451
47,48,4.6,3.2,1.4,0.2,Iris-setosa,1,0.6680388276107317
48,49,5.3,3.7,1.5,0.2,Iris-setosa,1,0.6833935938539238
49,50,5.0,3.3,1.4,0.2,Iris-setosa,1,0.7110912347393223
50,51,7.0,3.2,4.7,1.4,Iris-versicolor,2,0.354658218952297
51,52,6.4,3.2,4.5,1.5,Iris-versicolor,2,0.18322994288751476
52,53,6.9,3.1,4.9,1.5,Iris-versicolor,2,0.3726679706297891
53,54,5.5,2.3,4.0,1.3,Iris-versicolor,0,0.5451984960613022
54,55,6.5,2.8,4.6,1.5,Iris-versicolor,0,0.10783949161986799
55,56,5.7,2.8,4.5,1.3,Iris-versicolor,0,0.5361179572886215
